Date,Positive Case Count,DOW,New Cases,Cases Last 14 Days,Population,"Cases Per 100,000","Cases Last 14 Days Per 100,000",Location,County,Total Deaths,LTCF Deaths,Non-LTCF Deaths
2020-06-11,63,3,3.0,12.0,78338,80.0,15.0,Alameda,Alameda,,,
2020-06-12,66,4,3.0,14.0,78338,84.0,18.0,Alameda,Alameda,,,
2020-06-13,68,5,2.0,16.0,78338,87.0,20.0,Alameda,Alameda,,,
2020-06-14,72,6,4.0,20.0,78338,92.0,26.0,Alameda,Alameda,,,
2020-06-15,74,0,2.0,22.0,78338,94.0,28.0,Alameda,Alameda,,,
2020-06-16,75,1,1.0,23.0,78338,96.0,29.0,Alameda,Alameda,,,
2020-06-17,76,2,1.0,24.0,78338,97.0,31.0,Alameda,Alameda,,,
2020-06-18,79,3,3.0,26.0,78338,101.0,33.0,Alameda,Alameda,,,
2020-06-19,81,4,2.0,28.0,78338,103.0,36.0,Alameda,Alameda,,,
2020-06-20,84,5,3.0,31.0,78338,107.0,40.0,Alameda,Alameda,,,
2020-06-21,84,6,0.0,29.0,78338,107.0,37.0,Alameda,Alameda,,,
2020-06-22,92,0,8.0,35.0,78338,117.0,45.0,Alameda,Alameda,,,
2020-06-23,93,1,1.0,36.0,78338,119.0,46.0,Alameda,Alameda,,,
2020-06-24,95,2,2.0,35.0,78338,121.0,45.0,Alameda,Alameda,,,
2020-06-25,98,3,3.0,35.0,78338,125.0,45.0,Alameda,Alameda,,,
2020-06-26,103,4,5.0,37.0,78338,131.0,47.0,Alameda,Alameda,,,
2020-06-27,108,5,5.0,40.0,78338,138.0,51.0,Alameda,Alameda,,,
2020-06-28,112,6,4.0,40.0,78338,143.0,51.0,Alameda,Alameda,,,
2020-06-29,116,0,4.0,42.0,78338,148.0,54.0,Alameda,Alameda,,,
2020-06-30,120,1,4.0,45.0,78338,153.0,57.0,Alameda,Alameda,,,
2020-07-01,123,2,3.0,47.0,78338,157.0,60.0,Alameda,Alameda,,,
2020-07-02,128,3,5.0,49.0,78338,163.0,63.0,Alameda,Alameda,,,
2020-07-03,130,4,2.0,49.0,78338,166.0,63.0,Alameda,Alameda,,,
2020-07-04,132,5,2.0,48.0,78338,169.0,61.0,Alameda,Alameda,,,
2020-07-05,135,6,3.0,51.0,78338,172.0,65.0,Alameda,Alameda,,,
2020-07-06,138,0,3.0,46.0,78338,176.0,59.0,Alameda,Alameda,,,
2020-07-07,145,1,7.0,52.0,78338,185.0,66.0,Alameda,Alameda,,,
2020-07-08,148,2,3.0,53.0,78338,189.0,68.0,Alameda,Alameda,,,
2020-07-09,153,3,5.0,55.0,78338,195.0,70.0,Alameda,Alameda,,,
2020-07-10,160,4,7.0,57.0,78338,204.0,73.0,Alameda,Alameda,,,
2020-07-11,161,5,1.0,53.0,78338,206.0,68.0,Alameda,Alameda,,,
2020-07-12,163,6,2.0,51.0,78338,208.0,65.0,Alameda,Alameda,,,
2020-07-13,167,0,4.0,51.0,78338,213.0,65.0,Alameda,Alameda,,,
2020-07-14,173,1,6.0,53.0,78338,221.0,68.0,Alameda,Alameda,,,
2020-07-15,176,2,3.0,53.0,78338,225.0,68.0,Alameda,Alameda,,,
2020-07-16,179,3,3.0,51.0,78338,228.0,65.0,Alameda,Alameda,,,
2020-07-17,182,4,3.0,52.0,78338,232.0,66.0,Alameda,Alameda,,,
2020-07-18,184,5,2.0,52.0,78338,235.0,66.0,Alameda,Alameda,,,
2020-07-19,189,6,5.0,54.0,78338,241.0,69.0,Alameda,Alameda,,,
2020-07-20,191,0,2.0,53.0,78338,244.0,68.0,Alameda,Alameda,,,
2020-07-21,193,1,2.0,48.0,78338,246.0,61.0,Alameda,Alameda,,,
2020-07-22,196,2,3.0,48.0,78338,250.0,61.0,Alameda,Alameda,,,
2020-07-23,198,3,2.0,45.0,78338,253.0,57.0,Alameda,Alameda,,,
2020-07-24,201,4,3.0,41.0,78338,257.0,52.0,Alameda,Alameda,,,
2020-07-25,202,5,1.0,41.0,78338,258.0,52.0,Alameda,Alameda,,,
2020-07-26,207,6,5.0,44.0,78338,264.0,56.0,Alameda,Alameda,,,
2020-07-27,211,0,4.0,44.0,78338,269.0,56.0,Alameda,Alameda,,,
2020-07-28,214,1,3.0,41.0,78338,273.0,52.0,Alameda,Alameda,,,
2020-07-29,215,2,1.0,39.0,78338,274.0,50.0,Alameda,Alameda,,,
2020-07-30,226,3,11.0,47.0,78338,288.0,60.0,Alameda,Alameda,,,
2020-07-31,231,4,5.0,49.0,78338,295.0,63.0,Alameda,Alameda,,,
2020-08-01,233,5,2.0,49.0,78338,297.0,63.0,Alameda,Alameda,,,
2020-08-02,237,6,4.0,48.0,78338,303.0,61.0,Alameda,Alameda,,,
2020-08-03,242,0,5.0,51.0,78338,309.0,65.0,Alameda,Alameda,,,
2020-08-04,247,1,5.0,54.0,78338,315.0,69.0,Alameda,Alameda,,,
2020-08-05,254,2,7.0,58.0,78338,324.0,74.0,Alameda,Alameda,,,
2020-08-06,262,3,8.0,64.0,78338,334.0,82.0,Alameda,Alameda,,,
2020-08-07,269,4,7.0,68.0,78338,343.0,87.0,Alameda,Alameda,,,
2020-08-08,271,5,2.0,69.0,78338,346.0,88.0,Alameda,Alameda,,,
2020-08-09,274,6,3.0,67.0,78338,350.0,86.0,Alameda,Alameda,,,
2020-08-10,279,0,5.0,68.0,78338,356.0,87.0,Alameda,Alameda,,,
